template,service,n_rows,impact,urgency,priority,priority_score,confidence,scope,outage,workaround,regulatory,deadline,work_type,critical,description
Access removal requested for <SVC>,Regulatory Reporting,21,lowest,lowest,lowest,0.0516,1.0,individual,none,not_applicable,False,none,Service Request,True,"The request is to remove access to Regulatory Reporting following a role change or contract end. Please confirm all permissions, inherited groups, and temporary rights are removed so no user remains active beyond the agreed period."
Access requested for <SVC>,Securities Settlement,47,lowest,lowest,lowest,0.0461,1.0,individual,none,not_applicable,False,none,Service Request,True,A user needs access to Securities Settlement to complete their daily tasks. This request is for standard role-based access and is aligned to the employee's business duties. Please validate the access profile and ensure the user receives the correct permissions in line with policy.
General request for <SVC> with unclear details,Order Management,23,lowest,lowest,lowest,0.0394,1.0,individual,none,not_applicable,False,none,Service Request,True,The ticket text for Order Management is unclear and not aligned with the expected service request pattern. The message appears incomplete or misrouted and requires review to determine whether it should be rejected or redirected.
Access requested for <SVC>,Cash Management,41,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,A user needs access to Cash Management to complete their daily tasks. This request is for standard role-based access and is aligned to the employee's business duties. Please validate the access profile and ensure the user receives the correct permissions in line with policy.
General request for <SVC> with unclear details,Trading Platform,22,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,The ticket text for Trading Platform is unclear and not aligned with the expected service request pattern. The message appears incomplete or misrouted and requires review to determine whether it should be rejected or redirected.
Incorrect incident title for service request in <SVC>,Portfolio Accounting,17,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,"The submitted title suggests an incident affecting Portfolio Accounting, but the actual request is a regular service inquiry. Please confirm the correct handling path and classify the request as a service request instead of an operational incident."
Access requested for <SVC>,SimCorp Dimension,39,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,A user needs access to SimCorp Dimension to complete their daily tasks. This request is for standard role-based access and is aligned to the employee's business duties. Please validate the access profile and ensure the user receives the correct permissions in line with policy.
New license requested for <SVC>,Trading Platform,49,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,A new user requires a license for Trading Platform to support an operational activity. The request includes the relevant user details and justification and needs validation before the entitlement is assigned.
Incorrect incident title for service request in <SVC>,Regulatory Reporting,23,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,"The submitted title suggests an incident affecting Regulatory Reporting, but the actual request is a regular service inquiry. Please confirm the correct handling path and classify the request as a service request instead of an operational incident."
General request for <SVC> with unclear details,Trade Matching,24,lowest,lowest,lowest,0.0379,1.0,one_entity,none,not_applicable,False,none,Service Request,True,The ticket text for Trade Matching is unclear and not aligned with the expected service request pattern. The message appears incomplete or misrouted and requires review to determine whether it should be rejected or redirected.
Access removal requested for <SVC>,Rimes Data Feed,21,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,"The request is to remove access to Rimes Data Feed following a role change or contract end. Please confirm all permissions, inherited groups, and temporary rights are removed so no user remains active beyond the agreed period."
New license requested for <SVC>,Regulatory Reporting,44,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,A new user requires a license for Regulatory Reporting to support an operational activity. The request includes the relevant user details and justification and needs validation before the entitlement is assigned.
New license requested for <SVC>,Cash Management,34,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,A new user requires a license for Cash Management to support an operational activity. The request includes the relevant user details and justification and needs validation before the entitlement is assigned.
Access requested for <SVC>,Regulatory Reporting,46,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,A user needs access to Regulatory Reporting to complete their daily tasks. This request is for standard role-based access and is aligned to the employee's business duties. Please validate the access profile and ensure the user receives the correct permissions in line with policy.
Incorrect incident title for service request in <SVC>,Corporate Actions,15,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,"The submitted title suggests an incident affecting Corporate Actions, but the actual request is a regular service inquiry. Please confirm the correct handling path and classify the request as a service request instead of an operational incident."
Access removal requested for <SVC>,Risk & Compliance Monitoring,23,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,"The request is to remove access to Risk & Compliance Monitoring following a role change or contract end. Please confirm all permissions, inherited groups, and temporary rights are removed so no user remains active beyond the agreed period."
General request for <SVC> with unclear details,Securities Settlement,23,lowest,lowest,lowest,0.0379,1.0,one_entity,none,not_applicable,False,none,Service Request,True,The ticket text for Securities Settlement is unclear and not aligned with the expected service request pattern. The message appears incomplete or misrouted and requires review to determine whether it should be rejected or redirected.
General request for <SVC> with unclear details,Cash Management,19,lowest,lowest,lowest,0.0379,0.9444,individual,none,not_applicable,False,none,Service Request,True,The ticket text for Cash Management is unclear and not aligned with the expected service request pattern. The message appears incomplete or misrouted and requires review to determine whether it should be rejected or redirected.
New license requested for <SVC>,Trade Matching,50,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,A new user requires a license for Trade Matching to support an operational activity. The request includes the relevant user details and justification and needs validation before the entitlement is assigned.
New license requested for <SVC>,SimCorp Dimension,48,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,A new user requires a license for SimCorp Dimension to support an operational activity. The request includes the relevant user details and justification and needs validation before the entitlement is assigned.
General request for <SVC> with unclear details,Regulatory Reporting,18,lowest,lowest,lowest,0.0379,1.0,one_entity,none,not_applicable,False,none,Service Request,True,The ticket text for Regulatory Reporting is unclear and not aligned with the expected service request pattern. The message appears incomplete or misrouted and requires review to determine whether it should be rejected or redirected.
Access removal requested for <SVC>,Cash Management,19,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,"The request is to remove access to Cash Management following a role change or contract end. Please confirm all permissions, inherited groups, and temporary rights are removed so no user remains active beyond the agreed period."
Incorrect incident title for service request in <SVC>,Trading Platform,16,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,"The submitted title suggests an incident affecting Trading Platform, but the actual request is a regular service inquiry. Please confirm the correct handling path and classify the request as a service request instead of an operational incident."
General request for <SVC> with unclear details,Fund Pricing,20,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,The ticket text for Fund Pricing is unclear and not aligned with the expected service request pattern. The message appears incomplete or misrouted and requires review to determine whether it should be rejected or redirected.
Access removal requested for <SVC>,Client Reporting,18,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,"The request is to remove access to Client Reporting following a role change or contract end. Please confirm all permissions, inherited groups, and temporary rights are removed so no user remains active beyond the agreed period."
Access removal requested for <SVC>,Securities Settlement,19,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,"The request is to remove access to Securities Settlement following a role change or contract end. Please confirm all permissions, inherited groups, and temporary rights are removed so no user remains active beyond the agreed period."
Access requested for <SVC>,Corporate Actions,33,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,A user needs access to Corporate Actions to complete their daily tasks. This request is for standard role-based access and is aligned to the employee's business duties. Please validate the access profile and ensure the user receives the correct permissions in line with policy.
Incorrect incident title for service request in <SVC>,Trade Matching,21,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,"The submitted title suggests an incident affecting Trade Matching, but the actual request is a regular service inquiry. Please confirm the correct handling path and classify the request as a service request instead of an operational incident."
Incorrect incident title for service request in <SVC>,NAV Calculation,22,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,"The submitted title suggests an incident affecting NAV Calculation, but the actual request is a regular service inquiry. Please confirm the correct handling path and classify the request as a service request instead of an operational incident."
Access removal requested for <SVC>,Trade Matching,23,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,"The request is to remove access to Trade Matching following a role change or contract end. Please confirm all permissions, inherited groups, and temporary rights are removed so no user remains active beyond the agreed period."
Access requested for <SVC>,Risk & Compliance Monitoring,51,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,A user needs access to Risk & Compliance Monitoring to complete their daily tasks. This request is for standard role-based access and is aligned to the employee's business duties. Please validate the access profile and ensure the user receives the correct permissions in line with policy.
Access removal requested for <SVC>,NAV Calculation,16,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,"The request is to remove access to NAV Calculation following a role change or contract end. Please confirm all permissions, inherited groups, and temporary rights are removed so no user remains active beyond the agreed period."
Access requested for <SVC>,Trade Matching,50,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,A user needs access to Trade Matching to complete their daily tasks. This request is for standard role-based access and is aligned to the employee's business duties. Please validate the access profile and ensure the user receives the correct permissions in line with policy.
New license requested for <SVC>,Securities Settlement,50,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,A new user requires a license for Securities Settlement to support an operational activity. The request includes the relevant user details and justification and needs validation before the entitlement is assigned.
New license requested for <SVC>,Corporate Actions,58,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,A new user requires a license for Corporate Actions to support an operational activity. The request includes the relevant user details and justification and needs validation before the entitlement is assigned.
New license requested for <SVC>,Risk & Compliance Monitoring,38,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,A new user requires a license for Risk & Compliance Monitoring to support an operational activity. The request includes the relevant user details and justification and needs validation before the entitlement is assigned.
General request for <SVC> with unclear details,NAV Calculation,25,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,The ticket text for NAV Calculation is unclear and not aligned with the expected service request pattern. The message appears incomplete or misrouted and requires review to determine whether it should be rejected or redirected.
New license requested for <SVC>,Portfolio Accounting,41,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,A new user requires a license for Portfolio Accounting to support an operational activity. The request includes the relevant user details and justification and needs validation before the entitlement is assigned.
Access requested for <SVC>,Order Management,31,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,A user needs access to Order Management to complete their daily tasks. This request is for standard role-based access and is aligned to the employee's business duties. Please validate the access profile and ensure the user receives the correct permissions in line with policy.
New license requested for <SVC>,Fund Pricing,34,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,A new user requires a license for Fund Pricing to support an operational activity. The request includes the relevant user details and justification and needs validation before the entitlement is assigned.
New license requested for <SVC>,NAV Calculation,42,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,A new user requires a license for NAV Calculation to support an operational activity. The request includes the relevant user details and justification and needs validation before the entitlement is assigned.
General request for <SVC> with unclear details,SimCorp Dimension,25,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,The ticket text for SimCorp Dimension is unclear and not aligned with the expected service request pattern. The message appears incomplete or misrouted and requires review to determine whether it should be rejected or redirected.
Access removal requested for <SVC>,Fund Pricing,25,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,"The request is to remove access to Fund Pricing following a role change or contract end. Please confirm all permissions, inherited groups, and temporary rights are removed so no user remains active beyond the agreed period."
Access requested for <SVC>,NAV Calculation,36,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,A user needs access to NAV Calculation to complete their daily tasks. This request is for standard role-based access and is aligned to the employee's business duties. Please validate the access profile and ensure the user receives the correct permissions in line with policy.
General request for <SVC> with unclear details,Risk & Compliance Monitoring,20,lowest,lowest,lowest,0.0379,1.0,one_entity,none,not_applicable,False,none,Service Request,True,The ticket text for Risk & Compliance Monitoring is unclear and not aligned with the expected service request pattern. The message appears incomplete or misrouted and requires review to determine whether it should be rejected or redirected.
Incorrect incident title for service request in <SVC>,Order Management,25,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,"The submitted title suggests an incident affecting Order Management, but the actual request is a regular service inquiry. Please confirm the correct handling path and classify the request as a service request instead of an operational incident."
New license requested for <SVC>,Client Reporting,44,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,A new user requires a license for Client Reporting to support an operational activity. The request includes the relevant user details and justification and needs validation before the entitlement is assigned.
Incorrect incident title for service request in <SVC>,Fund Pricing,23,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,"The submitted title suggests an incident affecting Fund Pricing, but the actual request is a regular service inquiry. Please confirm the correct handling path and classify the request as a service request instead of an operational incident."
Incorrect incident title for service request in <SVC>,SimCorp Dimension,22,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,"The submitted title suggests an incident affecting SimCorp Dimension, but the actual request is a regular service inquiry. Please confirm the correct handling path and classify the request as a service request instead of an operational incident."
General request for <SVC> with unclear details,Corporate Actions,23,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,The ticket text for Corporate Actions is unclear and not aligned with the expected service request pattern. The message appears incomplete or misrouted and requires review to determine whether it should be rejected or redirected.
Access requested for <SVC>,Rimes Data Feed,38,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,A user needs access to Rimes Data Feed to complete their daily tasks. This request is for standard role-based access and is aligned to the employee's business duties. Please validate the access profile and ensure the user receives the correct permissions in line with policy.
Access removal requested for <SVC>,Trading Platform,20,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,"The request is to remove access to Trading Platform following a role change or contract end. Please confirm all permissions, inherited groups, and temporary rights are removed so no user remains active beyond the agreed period."
Access removal requested for <SVC>,Corporate Actions,23,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,"The request is to remove access to Corporate Actions following a role change or contract end. Please confirm all permissions, inherited groups, and temporary rights are removed so no user remains active beyond the agreed period."
Incorrect incident title for service request in <SVC>,Cash Management,17,lowest,lowest,lowest,0.0379,1.0,individual,none,not_applicable,False,none,Service Request,True,"The submitted title suggests an incident affecting Cash Management, but the actual request is a regular service inquiry. Please confirm the correct handling path and classify the request as a service request instead of an operational incident."
Access requested for <SVC>,CRM & Client Portal,47,lowest,lowest,lowest,0.0289,1.0,individual,none,not_applicable,False,none,Service Request,False,A user needs access to CRM & Client Portal to complete their daily tasks. This request is for standard role-based access and is aligned to the employee's business duties. Please validate the access profile and ensure the user receives the correct permissions in line with policy.
Access requested for <SVC>,Identity & Access Management,43,lowest,lowest,lowest,0.004,1.0,individual,none,not_applicable,False,none,Service Request,False,A user needs access to Identity & Access Management to complete their daily tasks. This request is for standard role-based access and is aligned to the employee's business duties. Please validate the access profile and ensure the user receives the correct permissions in line with policy.
New license requested for <SVC>,Tax Reporting,40,lowest,lowest,lowest,0.004,1.0,individual,none,not_applicable,False,none,Service Request,False,A new user requires a license for Tax Reporting to support an operational activity. The request includes the relevant user details and justification and needs validation before the entitlement is assigned.
New license requested for <SVC>,Outlook & Email,48,lowest,lowest,lowest,0.004,1.0,individual,none,not_applicable,False,none,Service Request,False,A new user requires a license for Outlook & Email to support an operational activity. The request includes the relevant user details and justification and needs validation before the entitlement is assigned.
Access removal requested for <SVC>,Tax Reporting,24,lowest,lowest,lowest,0.004,1.0,individual,none,not_applicable,False,none,Service Request,False,"The request is to remove access to Tax Reporting following a role change or contract end. Please confirm all permissions, inherited groups, and temporary rights are removed so no user remains active beyond the agreed period."
General request for <SVC> with unclear details,Outlook & Email,18,lowest,lowest,lowest,0.004,1.0,individual,none,not_applicable,False,none,Service Request,False,The ticket text for Outlook & Email is unclear and not aligned with the expected service request pattern. The message appears incomplete or misrouted and requires review to determine whether it should be rejected or redirected.
Access removal requested for <SVC>,Identity & Access Management,26,lowest,lowest,lowest,0.004,1.0,individual,none,not_applicable,False,none,Service Request,False,"The request is to remove access to Identity & Access Management following a role change or contract end. Please confirm all permissions, inherited groups, and temporary rights are removed so no user remains active beyond the agreed period."
General request for <SVC> with unclear details,Tax Reporting,20,lowest,lowest,lowest,0.004,1.0,individual,none,not_applicable,False,none,Service Request,False,The ticket text for Tax Reporting is unclear and not aligned with the expected service request pattern. The message appears incomplete or misrouted and requires review to determine whether it should be rejected or redirected.
General request for <SVC> with unclear details,Identity & Access Management,16,lowest,lowest,lowest,0.004,1.0,individual,none,not_applicable,False,none,Service Request,False,The ticket text for Identity & Access Management is unclear and not aligned with the expected service request pattern. The message appears incomplete or misrouted and requires review to determine whether it should be rejected or redirected.
Access requested for <SVC>,SharePoint & File Storage,43,lowest,lowest,lowest,0.004,1.0,individual,none,not_applicable,False,none,Service Request,False,A user needs access to SharePoint & File Storage to complete their daily tasks. This request is for standard role-based access and is aligned to the employee's business duties. Please validate the access profile and ensure the user receives the correct permissions in line with policy.
New license requested for <SVC>,Identity & Access Management,33,lowest,lowest,lowest,0.004,1.0,individual,none,not_applicable,False,none,Service Request,False,A new user requires a license for Identity & Access Management to support an operational activity. The request includes the relevant user details and justification and needs validation before the entitlement is assigned.
General request for <SVC> with unclear details,CRM & Client Portal,22,lowest,lowest,lowest,0.004,1.0,individual,none,not_applicable,False,none,Service Request,False,The ticket text for CRM & Client Portal is unclear and not aligned with the expected service request pattern. The message appears incomplete or misrouted and requires review to determine whether it should be rejected or redirected.
Incorrect incident title for service request in <SVC>,Outlook & Email,23,lowest,lowest,lowest,0.004,1.0,individual,none,not_applicable,False,none,Service Request,False,"The submitted title suggests an incident affecting Outlook & Email, but the actual request is a regular service inquiry. Please confirm the correct handling path and classify the request as a service request instead of an operational incident."
Incorrect incident title for service request in <SVC>,Tax Reporting,27,lowest,lowest,lowest,0.004,1.0,individual,none,not_applicable,False,none,Service Request,False,"The submitted title suggests an incident affecting Tax Reporting, but the actual request is a regular service inquiry. Please confirm the correct handling path and classify the request as a service request instead of an operational incident."
Incorrect incident title for service request in <SVC>,SharePoint & File Storage,20,lowest,lowest,lowest,0.004,1.0,individual,none,not_applicable,False,none,Service Request,False,"The submitted title suggests an incident affecting SharePoint & File Storage, but the actual request is a regular service inquiry. Please confirm the correct handling path and classify the request as a service request instead of an operational incident."
Access removal requested for <SVC>,Outlook & Email,21,lowest,lowest,lowest,0.004,1.0,individual,none,not_applicable,False,none,Service Request,False,"The request is to remove access to Outlook & Email following a role change or contract end. Please confirm all permissions, inherited groups, and temporary rights are removed so no user remains active beyond the agreed period."
General request for <SVC> with unclear details,SharePoint & File Storage,29,lowest,lowest,lowest,0.004,1.0,individual,none,not_applicable,False,none,Service Request,False,The ticket text for SharePoint & File Storage is unclear and not aligned with the expected service request pattern. The message appears incomplete or misrouted and requires review to determine whether it should be rejected or redirected.
Access requested for <SVC>,Outlook & Email,44,lowest,lowest,lowest,0.004,1.0,individual,none,not_applicable,False,none,Service Request,False,A user needs access to Outlook & Email to complete their daily tasks. This request is for standard role-based access and is aligned to the employee's business duties. Please validate the access profile and ensure the user receives the correct permissions in line with policy.
New license requested for <SVC>,CRM & Client Portal,49,lowest,lowest,lowest,0.004,1.0,individual,none,not_applicable,False,none,Service Request,False,A new user requires a license for CRM & Client Portal to support an operational activity. The request includes the relevant user details and justification and needs validation before the entitlement is assigned.
Access removal requested for <SVC>,SharePoint & File Storage,22,lowest,lowest,lowest,0.004,1.0,individual,none,not_applicable,False,none,Service Request,False,"The request is to remove access to SharePoint & File Storage following a role change or contract end. Please confirm all permissions, inherited groups, and temporary rights are removed so no user remains active beyond the agreed period."
Incorrect incident title for service request in <SVC>,Identity & Access Management,17,lowest,lowest,lowest,0.004,1.0,individual,none,not_applicable,False,none,Service Request,False,"The submitted title suggests an incident affecting Identity & Access Management, but the actual request is a regular service inquiry. Please confirm the correct handling path and classify the request as a service request instead of an operational incident."
New license requested for <SVC>,SharePoint & File Storage,38,lowest,lowest,lowest,0.004,1.0,individual,none,not_applicable,False,none,Service Request,False,A new user requires a license for SharePoint & File Storage to support an operational activity. The request includes the relevant user details and justification and needs validation before the entitlement is assigned.
Access requested for <SVC>,Tax Reporting,21,lowest,lowest,lowest,0.004,1.0,individual,none,not_applicable,False,none,Service Request,False,A user needs access to Tax Reporting to complete their daily tasks. This request is for standard role-based access and is aligned to the employee's business duties. Please validate the access profile and ensure the user receives the correct permissions in line with policy.
