template,service,entity,Work type,team,rep_ticket_id,tie_group_size,n_with_resolution,service_is_critical,rep_ticket_id_alt,signature_id
Incorrect incident title for service request in <SVC>,Risk & Compliance Monitoring,Nordics,Service Request,Risk & Controls,T02045,10,2,True,T02761,252
New license requested for <SVC>,Order Management,Luxembourg,Service Request,Trading Support,T02053,11,4,True,T02732,253
General request for <SVC> with unclear details,Rimes Data Feed,Switzerland,Service Request,Market Data Services,T02070,5,1,True,T00127,254
General request for <SVC> with unclear details,NAV Calculation,France,Service Request,Valuation & Pricing,T02074,6,1,True,T00112,255
Access requested for <SVC>,SharePoint & File Storage,Nordics,Service Request,Enterprise Applications,T02081,10,1,False,T00101,256
New license requested for <SVC>,Regulatory Reporting,France,Service Request,Risk & Controls,T02086,12,1,True,T00054,257
New license requested for <SVC>,SharePoint & File Storage,Luxembourg,Service Request,Enterprise Applications,T02142,10,1,False,T00164,258
Incorrect incident title for service request in <SVC>,SharePoint & File Storage,France,Service Request,Enterprise Applications,T02187,6,2,False,T02701,259
General request for <SVC> with unclear details,Securities Settlement,Germany,Service Request,Securities Operations,T02196,5,2,True,T02784,260
General request for <SVC> with unclear details,Corporate Actions,Nordics,Service Request,Securities Operations,T02213,5,2,True,T02965,261
Access removal requested for <SVC>,Risk & Compliance Monitoring,France,Service Request,Risk & Controls,T02220,4,1,True,T01582,262
Incorrect incident title for service request in <SVC>,Cash Management,Switzerland,Service Request,Treasury & Cash,T02275,3,1,True,T02091,263
General request for <SVC> with unclear details,SharePoint & File Storage,Switzerland,Service Request,Enterprise Applications,T02286,5,1,False,T00126,264
General request for <SVC> with unclear details,Rimes Data Feed,Luxembourg,Service Request,Market Data Services,T02305,5,1,True,T00930,265
Incorrect incident title for service request in <SVC>,Order Management,France,Service Request,Trading Support,T02325,5,1,True,T00386,266
Access removal requested for <SVC>,Trade Matching,France,Service Request,Investment Operations,T02347,3,1,True,T02419,267
Access removal requested for <SVC>,Regulatory Reporting,France,Service Request,Risk & Controls,T02352,3,1,True,T02412,268
Access removal requested for <SVC>,Identity & Access Management,Switzerland,Service Request,Enterprise Applications,T02362,3,1,False,T00214,269
General request for <SVC> with unclear details,SharePoint & File Storage,Germany,Service Request,Enterprise Applications,T02364,7,2,False,T03368,270
Access requested for <SVC>,Trade Matching,Luxembourg,Service Request,Investment Operations,T02372,8,1,True,T00687,271
Incorrect incident title for service request in <SVC>,Fund Pricing,Germany,Service Request,Valuation & Pricing,T02390,3,1,True,T02565,272
Access removal requested for <SVC>,CRM & Client Portal,Luxembourg,Service Request,Client Services,T02407,5,4,False,T02563,273
Access requested for <SVC>,Cash Management,Luxembourg,Service Request,Treasury & Cash,T02415,10,3,True,T02509,274
Incorrect incident title for service request in <SVC>,Identity & Access Management,Germany,Service Request,Enterprise Applications,T02441,4,1,False,T02861,275
Incorrect incident title for service request in <SVC>,Cash Management,Nordics,Service Request,Treasury & Cash,T02466,2,1,True,T02987,276
General request for <SVC> with unclear details,Portfolio Accounting,Nordics,Service Request,Investment Operations,T02471,7,1,True,T00239,277
Access removal requested for <SVC>,Outlook & Email,Germany,Service Request,Enterprise Applications,T02499,3,2,False,T03578,278
Access removal requested for <SVC>,Portfolio Accounting,Germany,Service Request,Investment Operations,T02510,5,1,True,T00038,279
General request for <SVC> with unclear details,Fund Pricing,Nordics,Service Request,Valuation & Pricing,T02517,3,1,True,T02969,280
General request for <SVC> with unclear details,Cash Management,Germany,Service Request,Treasury & Cash,T02572,6,1,True,T01276,281
New license requested for <SVC>,Risk & Compliance Monitoring,France,Service Request,Risk & Controls,T02578,8,1,True,T00340,282
General request for <SVC> with unclear details,Securities Settlement,France,Service Request,Securities Operations,T02582,5,2,True,T03848,283
New license requested for <SVC>,Rimes Data Feed,France,Service Request,Market Data Services,T02601,3,1,True,T03397,284
New license requested for <SVC>,Cash Management,France,Service Request,Treasury & Cash,T02622,3,1,True,T01928,285
Access removal requested for <SVC>,Fund Pricing,Nordics,Service Request,Valuation & Pricing,T02624,5,1,True,T01075,286
Incorrect incident title for service request in <SVC>,Corporate Actions,France,Service Request,Securities Operations,T02646,4,1,True,T02302,287
New license requested for <SVC>,Outlook & Email,Luxembourg,Service Request,Enterprise Applications,T02670,11,1,False,T00028,288
New license requested for <SVC>,Tax Reporting,Luxembourg,Service Request,Tax & Reporting,T02671,8,3,False,T03000,289
General request for <SVC> with unclear details,Corporate Actions,Germany,Service Request,Securities Operations,T02686,5,1,True,T00102,290
Incorrect incident title for service request in <SVC>,Regulatory Reporting,Nordics,Service Request,Risk & Controls,T02745,5,1,True,T01004,291
Access requested for <SVC>,CRM & Client Portal,Switzerland,Service Request,Client Services,T02760,9,2,False,T03194,292
New license requested for <SVC>,Trading Platform,Switzerland,Service Request,Investment Operations,T02793,7,2,True,T03491,293
General request for <SVC> with unclear details,Client Reporting,Nordics,Service Request,Client Services,T02795,3,1,True,T00496,294
New license requested for <SVC>,Rimes Data Feed,Germany,Service Request,Market Data Services,T02803,6,1,True,T02707,295
Incorrect incident title for service request in <SVC>,Trade Matching,Germany,Service Request,Investment Operations,T02805,1,1,True,,296
New license requested for <SVC>,Outlook & Email,France,Service Request,Enterprise Applications,T02809,11,6,False,T02952,297
General request for <SVC> with unclear details,Client Reporting,Switzerland,Service Request,Client Services,T02819,2,1,True,T03704,298
Access requested for <SVC>,Trading Platform,Germany,Service Request,Investment Operations,T02825,8,2,True,T03273,299
Access removal requested for <SVC>,NAV Calculation,Switzerland,Service Request,Valuation & Pricing,T02837,5,1,True,T00018,300
Incorrect incident title for service request in <SVC>,Securities Settlement,Switzerland,Service Request,Securities Operations,T02851,3,1,True,T02880,301
General request for <SVC> with unclear details,Regulatory Reporting,Germany,Service Request,Risk & Controls,T02863,3,1,True,T02580,302
Access requested for <SVC>,SharePoint & File Storage,France,Service Request,Enterprise Applications,T02875,8,1,False,T00246,303
General request for <SVC> with unclear details,Trade Matching,Switzerland,Service Request,Investment Operations,T02876,5,1,True,T00056,304
Access requested for <SVC>,Securities Settlement,Luxembourg,Service Request,Securities Operations,T02881,4,2,True,T03759,305
Incorrect incident title for service request in <SVC>,SimCorp Dimension,France,Service Request,Enterprise Applications,T02890,6,2,True,T03768,306
Incorrect incident title for service request in <SVC>,Rimes Data Feed,Switzerland,Service Request,Market Data Services,T02919,3,1,True,T00272,307
Incorrect incident title for service request in <SVC>,Risk & Compliance Monitoring,Luxembourg,Service Request,Risk & Controls,T02927,4,1,True,T00152,308
New license requested for <SVC>,SimCorp Dimension,France,Service Request,Enterprise Applications,T02949,8,2,True,T03751,309
General request for <SVC> with unclear details,NAV Calculation,Germany,Service Request,Valuation & Pricing,T03013,3,1,True,T02207,310
Access removal requested for <SVC>,Outlook & Email,France,Service Request,Enterprise Applications,T03046,2,1,False,T03123,311
General request for <SVC> with unclear details,SimCorp Dimension,France,Service Request,Enterprise Applications,T03077,5,1,True,T00311,312
General request for <SVC> with unclear details,Cash Management,Nordics,Service Request,Treasury & Cash,T03078,3,1,True,T01469,313
Incorrect incident title for service request in <SVC>,CRM & Client Portal,Germany,Service Request,Client Services,T03101,4,1,False,T02357,314
Incorrect incident title for service request in <SVC>,Risk & Compliance Monitoring,France,Service Request,Risk & Controls,T03110,6,1,True,T00726,315
General request for <SVC> with unclear details,Trading Platform,France,Service Request,Investment Operations,T03117,5,1,True,T00980,316
New license requested for <SVC>,Rimes Data Feed,Luxembourg,Service Request,Market Data Services,T03141,8,1,True,T00750,317
Access requested for <SVC>,Client Reporting,France,Service Request,Client Services,T03150,4,1,True,T02014,318
Incorrect incident title for service request in <SVC>,Risk & Compliance Monitoring,Switzerland,Service Request,Risk & Controls,T03159,3,1,True,T01308,319
General request for <SVC> with unclear details,Corporate Actions,Luxembourg,Service Request,Securities Operations,T03202,4,1,True,T01123,320
General request for <SVC> with unclear details,Client Reporting,Germany,Service Request,Client Services,T03216,3,1,True,T00596,321
Access requested for <SVC>,Trade Matching,Germany,Service Request,Investment Operations,T03224,9,2,True,T03420,322
Access requested for <SVC>,Fund Pricing,France,Service Request,Valuation & Pricing,T03261,8,2,True,T03901,323
Access removal requested for <SVC>,Risk & Compliance Monitoring,Germany,Service Request,Risk & Controls,T03275,4,1,True,T00814,324
General request for <SVC> with unclear details,Identity & Access Management,Nordics,Service Request,Enterprise Applications,T03292,3,1,False,T01408,325
Access requested for <SVC>,Order Management,France,Service Request,Trading Support,T03297,8,3,True,T03488,326
Access removal requested for <SVC>,SharePoint & File Storage,France,Service Request,Enterprise Applications,T03302,5,1,False,T00091,327
Incorrect incident title for service request in <SVC>,Order Management,Luxembourg,Service Request,Trading Support,T03333,8,2,True,T03450,328
Access removal requested for <SVC>,Client Reporting,Luxembourg,Service Request,Client Services,T03384,3,1,True,T02129,329
Incorrect incident title for service request in <SVC>,Trade Matching,France,Service Request,Investment Operations,T03402,7,1,True,T01311,330
Incorrect incident title for service request in <SVC>,SimCorp Dimension,Germany,Service Request,Enterprise Applications,T03409,3,1,True,T02037,331
General request for <SVC> with unclear details,Tax Reporting,Luxembourg,Service Request,Tax & Reporting,T03449,5,1,False,T01153,332
Access removal requested for <SVC>,Trading Platform,Germany,Service Request,Investment Operations,T03543,4,1,True,T01909,333
General request for <SVC> with unclear details,Fund Pricing,Germany,Service Request,Valuation & Pricing,T03569,3,1,True,T01637,334
New license requested for <SVC>,Trade Matching,Nordics,Service Request,Investment Operations,T03616,8,1,True,T00297,335
Access removal requested for <SVC>,Regulatory Reporting,Switzerland,Service Request,Risk & Controls,T03623,4,1,True,T00392,336
New license requested for <SVC>,SimCorp Dimension,Luxembourg,Service Request,Enterprise Applications,T03634,10,1,True,T00186,337
Access removal requested for <SVC>,SharePoint & File Storage,Nordics,Service Request,Enterprise Applications,T03645,6,1,False,T01258,338
General request for <SVC> with unclear details,CRM & Client Portal,Germany,Service Request,Client Services,T03655,6,1,False,T00409,339
Incorrect incident title for service request in <SVC>,Securities Settlement,Luxembourg,Service Request,Securities Operations,T03671,6,1,True,T00996,340
Access removal requested for <SVC>,Cash Management,France,Service Request,Treasury & Cash,T03683,5,1,True,T01740,341
New license requested for <SVC>,Identity & Access Management,Luxembourg,Service Request,Enterprise Applications,T03725,7,1,False,T00381,342
Incorrect incident title for service request in <SVC>,Securities Settlement,Nordics,Service Request,Securities Operations,T03731,6,1,True,T00538,343
Access removal requested for <SVC>,Fund Pricing,Germany,Service Request,Valuation & Pricing,T03777,4,2,True,T03842,344
Incorrect incident title for service request in <SVC>,SimCorp Dimension,Switzerland,Service Request,Enterprise Applications,T03786,7,1,True,T00250,345
Access removal requested for <SVC>,Trading Platform,France,Service Request,Investment Operations,T03817,3,1,True,T00928,346
Access removal requested for <SVC>,Client Reporting,Switzerland,Service Request,Client Services,T03852,4,1,True,T02113,347
Incorrect incident title for service request in <SVC>,NAV Calculation,Germany,Service Request,Valuation & Pricing,T03863,4,1,True,T00267,348
Incorrect incident title for service request in <SVC>,Identity & Access Management,Switzerland,Service Request,Enterprise Applications,T03877,3,1,False,T00086,349
General request for <SVC> with unclear details,Rimes Data Feed,Nordics,Service Request,Market Data Services,T03880,7,1,True,T01037,350
Access requested for <SVC>,Order Management,Nordics,Service Request,Trading Support,T03882,5,1,True,T00266,351
Access removal requested for <SVC>,Client Reporting,Nordics,Service Request,Client Services,T03904,4,1,True,T01738,352
New license requested for <SVC>,CRM & Client Portal,Nordics,Service Request,Client Services,T03906,5,1,False,T01405,353
Access removal requested for <SVC>,Portfolio Accounting,France,Service Request,Investment Operations,T03958,4,1,True,T00249,354
New license requested for <SVC>,Portfolio Accounting,Germany,Service Request,Investment Operations,T03977,5,1,True,T01074,355
Operational issue reported for <SVC>,Tax Reporting,Luxembourg,Incident,Tax & Reporting,T04007,17,3,False,T06285,356
Automated alert triggered for <SVC>,Identity & Access Management,Germany,Incident,Enterprise Applications,T04013,77,18,False,T04521,357
Automated alert triggered for <SVC>,NAV Calculation,Germany,Incident,Valuation & Pricing,T04016,64,18,True,T06789,358
Incident mislabelled as service request in <SVC>,SharePoint & File Storage,France,Incident,Enterprise Applications,T04034,12,3,False,T12050,359
External email warning received for <SVC>,Emailed Support Tickets,Luxembourg,Incident,Service Desk,T04035,805,206,False,T04094,360
Operational issue reported for <SVC>,Risk & Compliance Monitoring,Luxembourg,Incident,Risk & Controls,T04045,18,6,True,T04866,361
Automated alert triggered for <SVC>,CRM & Client Portal,Nordics,Incident,Client Services,T04051,75,24,False,T06567,362
External email warning received for <SVC>,Emailed Support Tickets,Switzerland,Incident,Service Desk,T04052,892,211,False,T04134,363
Automated alert triggered for <SVC>,Portfolio Accounting,Switzerland,Incident,Investment Operations,T04063,72,16,True,T04613,364
Automated alert triggered for <SVC>,Outlook & Email,Nordics,Incident,Enterprise Applications,T04070,75,19,False,T04296,365
External email warning received for <SVC>,Emailed Support Tickets,France,Incident,Service Desk,T04072,822,196,False,T04113,366
Unclear incident input for <SVC>,Tax Reporting,Luxembourg,Incident,Tax & Reporting,T04075,14,2,False,T08568,367
Automated alert triggered for <SVC>,Securities Settlement,Nordics,Incident,Securities Operations,T04076,65,13,True,T04586,368
Automated alert triggered for <SVC>,Tax Reporting,Nordics,Incident,Tax & Reporting,T04077,76,21,False,T04336,369
Automated alert triggered for <SVC>,Corporate Actions,Switzerland,Incident,Securities Operations,T04080,72,23,True,T04089,370
Unclear incident input for <SVC>,Fund Pricing,Germany,Incident,Valuation & Pricing,T04087,14,6,True,T04997,371
External email warning received for <SVC>,Emailed Support Tickets,Germany,Incident,Service Desk,T04093,873,209,False,T04145,372
Automated alert triggered for <SVC>,Client Reporting,France,Incident,Client Services,T04100,74,17,True,T04173,373
Operational issue reported for <SVC>,Corporate Actions,Germany,Incident,Securities Operations,T04112,30,10,True,T06837,374
Automated alert triggered for <SVC>,Trading Platform,France,Incident,Investment Operations,T04120,101,25,True,T04833,375
Automated alert triggered for <SVC>,Order Management,Switzerland,Incident,Trading Support,T04122,78,22,True,T04235,376
Automated alert triggered for <SVC>,Outlook & Email,France,Incident,Enterprise Applications,T04126,81,20,False,T04309,377
Automated alert triggered for <SVC>,Outlook & Email,Switzerland,Incident,Enterprise Applications,T04133,86,20,False,T04994,378
Automated alert triggered for <SVC>,NAV Calculation,Nordics,Incident,Valuation & Pricing,T04135,76,19,True,T05490,379
Automated alert triggered for <SVC>,NAV Calculation,Switzerland,Incident,Valuation & Pricing,T04136,79,18,True,T06485,380
Automated alert triggered for <SVC>,Client Reporting,Nordics,Incident,Client Services,T04143,80,20,True,T05429,381
External email warning received for <SVC>,Emailed Support Tickets,Nordics,Incident,Service Desk,T04144,820,183,False,T04279,382
Automated alert triggered for <SVC>,Securities Settlement,Switzerland,Incident,Securities Operations,T04148,76,17,True,T05419,383
Incident mislabelled as service request in <SVC>,Risk & Compliance Monitoring,Luxembourg,Incident,Risk & Controls,T04149,17,4,True,T08995,384
Automated alert triggered for <SVC>,Risk & Compliance Monitoring,Luxembourg,Incident,Risk & Controls,T04160,77,16,True,T06005,385
Operational issue reported for <SVC>,Securities Settlement,Nordics,Incident,Securities Operations,T04161,26,4,True,T08652,386
Unclear incident input for <SVC>,Identity & Access Management,Nordics,Incident,Enterprise Applications,T04163,13,5,False,T05532,387
Automated alert triggered for <SVC>,Portfolio Accounting,Nordics,Incident,Investment Operations,T04169,78,27,True,T04632,388
Automated alert triggered for <SVC>,CRM & Client Portal,Switzerland,Incident,Client Services,T04175,76,23,False,T04617,389
Automated alert triggered for <SVC>,Cash Management,Luxembourg,Incident,Treasury & Cash,T04182,64,16,True,T04531,390
Operational issue reported for <SVC>,Risk & Compliance Monitoring,Nordics,Incident,Risk & Controls,T04183,20,6,True,T06868,391
Automated alert triggered for <SVC>,Securities Settlement,Germany,Incident,Securities Operations,T04186,75,19,True,T05050,392
Automated alert triggered for <SVC>,Portfolio Accounting,Germany,Incident,Investment Operations,T04193,90,20,True,T05119,393
Unclear incident input for <SVC>,Rimes Data Feed,Luxembourg,Incident,Market Data Services,T04197,10,3,True,T18573,394
Unclear incident input for <SVC>,Client Reporting,France,Incident,Client Services,T04212,15,6,True,T07011,395
Unclear incident input for <SVC>,Portfolio Accounting,Germany,Incident,Investment Operations,T04214,17,8,True,T05269,396
Incident mislabelled as service request in <SVC>,Trading Platform,Switzerland,Incident,Investment Operations,T04219,11,4,True,T08044,397
Operational issue reported for <SVC>,Corporate Actions,Luxembourg,Incident,Securities Operations,T04225,21,3,True,T14868,398
Automated alert triggered for <SVC>,Cash Management,Nordics,Incident,Treasury & Cash,T04228,66,15,True,T04321,399
Automated alert triggered for <SVC>,Corporate Actions,France,Incident,Securities Operations,T04242,82,15,True,T04644,400
Incident mislabelled as service request in <SVC>,SimCorp Dimension,Nordics,Incident,Enterprise Applications,T04248,15,4,True,T05420,401
Automated alert triggered for <SVC>,Securities Settlement,Luxembourg,Incident,Securities Operations,T04272,68,18,True,T05175,402
Automated alert triggered for <SVC>,NAV Calculation,France,Incident,Valuation & Pricing,T04274,67,21,True,T05567,403
Automated alert triggered for <SVC>,Tax Reporting,Luxembourg,Incident,Tax & Reporting,T04277,84,21,False,T07299,404
Automated alert triggered for <SVC>,Identity & Access Management,Luxembourg,Incident,Enterprise Applications,T04281,93,28,False,T04316,405
Automated alert triggered for <SVC>,Fund Pricing,Germany,Incident,Valuation & Pricing,T04288,69,20,True,T04846,406
Incident mislabelled as service request in <SVC>,Risk & Compliance Monitoring,Nordics,Incident,Risk & Controls,T04304,10,4,True,T05979,407
Automated alert triggered for <SVC>,SimCorp Dimension,Luxembourg,Incident,Enterprise Applications,T04306,79,17,True,T04664,408
Automated alert triggered for <SVC>,CRM & Client Portal,France,Incident,Client Services,T04317,80,19,False,T04380,409
Automated alert triggered for <SVC>,CRM & Client Portal,Germany,Incident,Client Services,T04320,74,16,False,T06341,410
Unclear incident input for <SVC>,Regulatory Reporting,Nordics,Incident,Risk & Controls,T04327,23,6,True,T08764,411
Incident mislabelled as service request in <SVC>,Outlook & Email,Nordics,Incident,Enterprise Applications,T04328,14,6,False,T09515,412
Unclear incident input for <SVC>,SimCorp Dimension,Nordics,Incident,Enterprise Applications,T04330,18,4,True,T06992,413
Operational issue reported for <SVC>,Regulatory Reporting,France,Incident,Risk & Controls,T04338,23,6,True,T08727,414
Automated alert triggered for <SVC>,CRM & Client Portal,Luxembourg,Incident,Client Services,T04347,76,20,False,T04418,415
Automated alert triggered for <SVC>,Tax Reporting,Switzerland,Incident,Tax & Reporting,T04359,73,16,False,T04397,416
Automated alert triggered for <SVC>,Trading Platform,Luxembourg,Incident,Investment Operations,T04362,82,23,True,T05066,417
Automated alert triggered for <SVC>,Regulatory Reporting,France,Incident,Risk & Controls,T04384,61,14,True,T05555,418
Automated alert triggered for <SVC>,Fund Pricing,France,Incident,Valuation & Pricing,T04386,78,15,True,T04932,419
Automated alert triggered for <SVC>,Risk & Compliance Monitoring,Switzerland,Incident,Risk & Controls,T04390,70,12,True,T04974,420
Automated alert triggered for <SVC>,Trade Matching,Germany,Incident,Investment Operations,T04399,87,19,True,T05630,421
Unclear incident input for <SVC>,Portfolio Accounting,Switzerland,Incident,Investment Operations,T04404,16,4,True,T09183,422
Automated alert triggered for <SVC>,SimCorp Dimension,France,Incident,Enterprise Applications,T04415,95,18,True,T06611,423
Incident mislabelled as service request in <SVC>,Corporate Actions,Luxembourg,Incident,Securities Operations,T04429,17,6,True,T04651,424
Automated alert triggered for <SVC>,Rimes Data Feed,Luxembourg,Incident,Market Data Services,T04465,96,25,True,T05375,425
Operational issue reported for <SVC>,CRM & Client Portal,Germany,Incident,Client Services,T04474,15,6,False,T04642,426
Operational issue reported for <SVC>,Identity & Access Management,France,Incident,Enterprise Applications,T04483,16,2,False,T17136,427
Unclear incident input for <SVC>,CRM & Client Portal,Nordics,Incident,Client Services,T04502,21,6,False,T04519,428
Automated alert triggered for <SVC>,SharePoint & File Storage,Switzerland,Incident,Enterprise Applications,T04506,77,16,False,T06224,429
Automated alert triggered for <SVC>,Corporate Actions,Nordics,Incident,Securities Operations,T04507,65,23,True,T04587,430
Incident mislabelled as service request in <SVC>,Identity & Access Management,Germany,Incident,Enterprise Applications,T04509,20,3,False,T15689,431
Unclear incident input for <SVC>,SharePoint & File Storage,Germany,Incident,Enterprise Applications,T04511,9,3,False,T12014,432
Unclear incident input for <SVC>,Client Reporting,Germany,Incident,Client Services,T04530,25,7,True,T04659,433
Unclear incident input for <SVC>,Identity & Access Management,Switzerland,Incident,Enterprise Applications,T04542,13,3,False,T06754,434
Unclear incident input for <SVC>,Securities Settlement,Switzerland,Incident,Securities Operations,T04557,22,5,True,T06647,435
Automated alert triggered for <SVC>,Trade Matching,Luxembourg,Incident,Investment Operations,T04558,86,23,True,T04861,436
Automated alert triggered for <SVC>,Trade Matching,Nordics,Incident,Investment Operations,T04580,76,18,True,T05043,437
Automated alert triggered for <SVC>,NAV Calculation,Luxembourg,Incident,Valuation & Pricing,T04581,76,15,True,T07924,438
Unclear incident input for <SVC>,Regulatory Reporting,Luxembourg,Incident,Risk & Controls,T04585,11,2,True,T15758,439
Automated alert triggered for <SVC>,Cash Management,France,Incident,Treasury & Cash,T04591,84,19,True,T06050,440
Automated alert triggered for <SVC>,Regulatory Reporting,Luxembourg,Incident,Risk & Controls,T04596,93,20,True,T06599,441
Automated alert triggered for <SVC>,Trading Platform,Switzerland,Incident,Investment Operations,T04611,68,12,True,T04714,442
Automated alert triggered for <SVC>,SharePoint & File Storage,Nordics,Incident,Enterprise Applications,T04615,74,25,False,T05331,443
Automated alert triggered for <SVC>,Identity & Access Management,Nordics,Incident,Enterprise Applications,T04616,67,17,False,T04777,444
Automated alert triggered for <SVC>,Order Management,France,Incident,Trading Support,T04623,77,18,True,T05008,445
Automated alert triggered for <SVC>,Portfolio Accounting,Luxembourg,Incident,Investment Operations,T04624,82,19,True,T05627,446
Operational issue reported for <SVC>,Corporate Actions,Nordics,Incident,Securities Operations,T04633,19,5,True,T06104,447
Incident mislabelled as service request in <SVC>,Order Management,Germany,Incident,Trading Support,T04635,17,3,True,T13556,448
Unclear incident input for <SVC>,Fund Pricing,Nordics,Incident,Valuation & Pricing,T04649,22,4,True,T06498,449
Unclear incident input for <SVC>,SharePoint & File Storage,Luxembourg,Incident,Enterprise Applications,T04655,22,6,False,T05840,450
Operational issue reported for <SVC>,Fund Pricing,Germany,Incident,Valuation & Pricing,T04656,15,3,True,T09133,451
Incident mislabelled as service request in <SVC>,Portfolio Accounting,Nordics,Incident,Investment Operations,T04661,13,6,True,T08270,452
Automated alert triggered for <SVC>,Order Management,Germany,Incident,Trading Support,T04679,63,17,True,T04778,453
Unclear incident input for <SVC>,NAV Calculation,Switzerland,Incident,Valuation & Pricing,T04686,12,6,True,T05101,454
Automated alert triggered for <SVC>,Trading Platform,Nordics,Incident,Investment Operations,T04688,78,24,True,T04919,455
Automated alert triggered for <SVC>,Corporate Actions,Luxembourg,Incident,Securities Operations,T04694,82,24,True,T04711,456
Automated alert triggered for <SVC>,Securities Settlement,France,Incident,Securities Operations,T04697,72,17,True,T05427,457
Automated alert triggered for <SVC>,Order Management,Luxembourg,Incident,Trading Support,T04699,83,16,True,T04726,458
Automated alert triggered for <SVC>,SimCorp Dimension,Switzerland,Incident,Enterprise Applications,T04718,100,22,True,T04799,459
Automated alert triggered for <SVC>,SimCorp Dimension,Germany,Incident,Enterprise Applications,T04729,75,15,True,T05298,460
Operational issue reported for <SVC>,Client Reporting,France,Incident,Client Services,T04733,18,4,True,T07897,461
Unclear incident input for <SVC>,Order Management,Nordics,Incident,Trading Support,T04738,12,3,True,T06210,462
Automated alert triggered for <SVC>,Identity & Access Management,France,Incident,Enterprise Applications,T04739,72,14,False,T04944,463
Incident mislabelled as service request in <SVC>,Tax Reporting,Germany,Incident,Tax & Reporting,T04747,18,3,False,T05389,464
Unclear incident input for <SVC>,Client Reporting,Luxembourg,Incident,Client Services,T04750,15,4,True,T06946,465
Operational issue reported for <SVC>,Trading Platform,Luxembourg,Incident,Investment Operations,T04772,14,8,True,T05776,466
Incident mislabelled as service request in <SVC>,Fund Pricing,Luxembourg,Incident,Valuation & Pricing,T04774,11,3,True,T18699,467
Unclear incident input for <SVC>,Corporate Actions,Switzerland,Incident,Securities Operations,T04780,13,3,True,T13572,468
Automated alert triggered for <SVC>,Trading Platform,Germany,Incident,Investment Operations,T04786,91,20,True,T05731,469
Incident mislabelled as service request in <SVC>,Risk & Compliance Monitoring,Germany,Incident,Risk & Controls,T04790,17,4,True,T07358,470
Incident mislabelled as service request in <SVC>,Corporate Actions,Switzerland,Incident,Securities Operations,T04830,19,2,True,T05617,471
Incident mislabelled as service request in <SVC>,Trade Matching,France,Incident,Investment Operations,T04834,16,3,True,T08369,472
Incident mislabelled as service request in <SVC>,NAV Calculation,Nordics,Incident,Valuation & Pricing,T04849,17,7,True,T08573,473
Incident mislabelled as service request in <SVC>,Tax Reporting,Nordics,Incident,Tax & Reporting,T04875,19,6,False,T09522,474
Automated alert triggered for <SVC>,Regulatory Reporting,Switzerland,Incident,Risk & Controls,T04890,93,18,True,T05056,475
Unclear incident input for <SVC>,Cash Management,Germany,Incident,Treasury & Cash,T04896,18,4,True,T06089,476
Automated alert triggered for <SVC>,SharePoint & File Storage,Luxembourg,Incident,Enterprise Applications,T04897,79,19,False,T07169,477
Operational issue reported for <SVC>,SimCorp Dimension,Switzerland,Incident,Enterprise Applications,T04898,14,1,True,T04329,478
Automated alert triggered for <SVC>,Rimes Data Feed,Germany,Incident,Market Data Services,T04902,68,14,True,T07179,479
Operational issue reported for <SVC>,Identity & Access Management,Germany,Incident,Enterprise Applications,T04906,10,1,False,T06531,480
Automated alert triggered for <SVC>,Outlook & Email,Luxembourg,Incident,Enterprise Applications,T04914,103,26,False,T05929,481
Automated alert triggered for <SVC>,Risk & Compliance Monitoring,Germany,Incident,Risk & Controls,T04923,79,20,True,T05228,482
Automated alert triggered for <SVC>,Regulatory Reporting,Germany,Incident,Risk & Controls,T04939,62,14,True,T05408,483
Automated alert triggered for <SVC>,Fund Pricing,Switzerland,Incident,Valuation & Pricing,T04941,86,21,True,T05521,484
Operational issue reported for <SVC>,Fund Pricing,Nordics,Incident,Valuation & Pricing,T04959,20,4,True,T07083,485
Automated alert triggered for <SVC>,Fund Pricing,Luxembourg,Incident,Valuation & Pricing,T04976,90,20,True,T06770,486
Automated alert triggered for <SVC>,Rimes Data Feed,France,Incident,Market Data Services,T04989,78,17,True,T05548,487
Automated alert triggered for <SVC>,Trade Matching,Switzerland,Incident,Investment Operations,T04990,81,23,True,T05668,488
Operational issue reported for <SVC>,NAV Calculation,Luxembourg,Incident,Valuation & Pricing,T04995,25,7,True,T07378,489
Incident mislabelled as service request in <SVC>,Risk & Compliance Monitoring,Switzerland,Incident,Risk & Controls,T05010,20,6,True,T08474,490
Automated alert triggered for <SVC>,Cash Management,Switzerland,Incident,Treasury & Cash,T05012,67,10,True,T07274,491
Automated alert triggered for <SVC>,Client Reporting,Switzerland,Incident,Client Services,T05018,61,17,True,T09126,492
Incident mislabelled as service request in <SVC>,Securities Settlement,France,Incident,Securities Operations,T05025,16,7,True,T06035,493
Unclear incident input for <SVC>,Tax Reporting,Germany,Incident,Tax & Reporting,T05033,15,3,False,T18298,494
Incident mislabelled as service request in <SVC>,Rimes Data Feed,France,Incident,Market Data Services,T05054,12,5,True,T07858,495
Unclear incident input for <SVC>,Rimes Data Feed,Switzerland,Incident,Market Data Services,T05064,17,5,True,T10247,496
Automated alert triggered for <SVC>,Rimes Data Feed,Nordics,Incident,Market Data Services,T05073,79,20,True,T06162,497
Automated alert triggered for <SVC>,Client Reporting,Luxembourg,Incident,Client Services,T05086,77,17,True,T05884,498
